Produktsortiment,Prozessornummer,Lithographie,Empfohlener Kundenpreis,Anzahl der Kerne,Gesamte Threads,Max. Turbo-Taktfrequenz,Intel® Turbo-Boost-Technik 2.0 Taktfrequenz‡,Grundtaktfrequenz des Prozessors,Cache,Bus-Taktfrequenz,Verlustleistung (TDP),# of Performance-cores,# of Efficiency-cores,Intel® Turbo Boost Max Technology 3.0 Frequency ‡,Single P-core Turbo Frequency,Single E-core Turbo Frequency,P-core Base Frequency,E-core Base Frequency,Total L2 Cache,Processor Base Power,Maximum Turbo Power,Einführungsdatum,Expected Discontinuance,Grundtaktfrequenz der Grafik,Max. dynamische Grafikfrequenz,Max. Videospeicher der Grafik,4K-Unterstützung,Max. Auflösung (HDMI)‡,Max. Auflösung (DP)‡,Max. Auflösung (eDP – integrierter Flachbildschirm)‡,PCI-Express-Konfigurationen ‡,Thermische Spezifikation des Kühlers
Intel® Core™ i7 Prozessoren der 13. Generation,i7-13700,Intel 7,$384.00-$394.00,16,24,5.20 GHz,,,30 MB Intel® Smart Cache,,,8,8,5 | 20 GHz,5.10 GHz,4.10 GHz,2.10 GHz,1.50 GHz,24 MB,65 W,219 W,Q1'23,,300 MHz,1.60 GHz,,,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,Up to 1x16+4 |  2x8+4,PCG 2020C
Intel® Core™ i7 Prozessoren der 13. Generation,i7-13700F,Intel 7,$359.00-$369.00,16,24,5.20 GHz,,,30 MB Intel® Smart Cache,,,8,8,5 | 20 GHz,5.10 GHz,4.10 GHz,2.10 GHz,1.50 GHz,24 MB,65 W,219 W,Q1'23,,,,,,,,,Up to 1x16+4 |  2x8+4,PCG 2020C
Intel® Core™ i7 Prozessoren der 13. Generation,i7-13700T,Intel 7,$384.00,16,24,4.90 GHz,,,30 MB Intel® Smart Cache,,,8,8,4 | 90 GHz,4.80 GHz,3.60 GHz,1.40 GHz,1.00 GHz,24 MB,35 W,106 W,Q1'23,,300 MHz,1.60 GHz,,,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,Up to 1x16+4 |  2x8+4,PCG 2020D
Intel® Core™ i7 Prozessoren der 13. Generation,i7-13700K,Intel 7,$409.00,16,24,5.40 GHz,,,30 MB Intel® Smart Cache,,,8,8,5 | 40 GHz,5.30 GHz,4.20 GHz,3.40 GHz,2.50 GHz,24 MB,125 W,253 W,Q4'22,,300 MHz,1.60 GHz,,,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,Up to 1x16+4 |  2x8+4,PCG 2020A
Intel® Core™ i7 Processors (14th gen),i7-14700,Intel 7,$384.00-$394.00,20,28,5.4 GHz,,,33 MB Intel® Smart Cache,,,8,12,5 | 4 GHz,5.3 GHz,4.2 GHz,2.1 GHz,1.5 GHz,28 MB,65 W,219 W,Q1'24,,300 MHz,1.6 GHz,,,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,Up to 1x16+4 |  2x8+4,PCG 2020C
Intel® Core™ i7 Processors (14th gen),i7-14700K,Intel 7,$409.00-$419.00,20,28,5.6 GHz,,,33 MB Intel® Smart Cache,,,8,12,5 | 6 GHz,5.5 GHz,4.3 GHz,3.4 GHz,2.5 GHz,28 MB,125 W,253 W,Q4'23,,300 MHz,1.6 GHz,,,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,Up to 1x16+4 |  2x8+4,PCG 2020A
Intel® Core™ i7 Processors (14th gen),i7-14700KF,Intel 7,$384.00-$394.00,20,28,5.6 GHz,,,33 MB Intel® Smart Cache,,,8,12,5 | 6 GHz,5.5 GHz,4.3 GHz,3.4 GHz,2.5 GHz,28 MB,125 W,253 W,Q4'23,,,,,,,,,Up to 1x16+4 |  2x8+4,PCG 2020A
Intel® Core™ i7 Processors (14th gen),i7-14700T,Intel 7,$384.00,20,28,5.2 GHz,,,33 MB Intel® Smart Cache,,,8,12,5 | 2 GHz,5 GHz,3.7 GHz,1.3 GHz,900 MHz,28 MB,35 W,106 W,Q1'24,,300 MHz,1.6 GHz,,,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,Up to 1x16+4 |  2x8+4,PCG 2020D
Intel® Core™ i7 Processors (14th gen),i7-14700F,Intel 7,$359.00-$369.00,20,28,5.4 GHz,,,33 MB Intel® Smart Cache,,,8,12,5 | 4 GHz,5.3 GHz,4.2 GHz,2.1 GHz,1.5 GHz,28 MB,65 W,219 W,Q1'24,,,,,,,,,Up to 1x16+4 |  2x8+4,PCG 2020C
Intel® Core™ i7 Prozessoren der vierten Generation,i7-4765T,22 nm,,4,8,3.00 GHz,3.00 GHz,2 | 00 GHz,8 MB Intel® Smart Cache,5 GT/s,35 W,,,,,,,,,,,Q2'13,07/14/2017,350 MHz,1.20 GHz,2 GB,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2013A
